Work (J),Volume (m^3)
-335.22693124629023,0.11481481481481483
-339.33718859389467,0.11501501501501503
-343.43744183621163,0.11521521521521522
-347.52773264258576,0.11541541541541542
-351.60810243690696,0.11561561561561562
-355.67859239947967,0.11581581581581582
-359.7392434688727,0.11601601601601602
-363.7900963437528,0.11621621621621622
-367.8311914847004,0.11641641641641642
-371.86256911600964,0.11661661661661663
-375.8842692274703,0.11681681681681683
-379.8963315761347,0.11701701701701703
-383.8987956880669,0.11721721721721723
-387.8917008600771,0.11741741741741743
-391.8750861614393,0.11761761761761763
-395.8489904355931,0.11781781781781783
-399.8134523018307,0.11801801801801803
-403.7685101569673,0.11821821821821824
-407.7142021769972,0.11841841841841842
-411.65056631873546,0.11861861861861862
-415.5776403214415,0.11881881881881882
-419.49546170843183,0.11901901901901903
-423.4040677886758,0.11921921921921923
-427.3034956583774,0.11941941941941943
-431.1937822025434,0.11961961961961963
-435.07496409653595,0.11981981981981983
-438.9470778076127,0.12002002002002003
-442.81015959645225,0.12022022022022023
-446.6642455186658,0.12042042042042043
-450.5093714262955,0.12062062062062062
-454.3455729693002,0.12082082082082082
-458.17288559702575,0.12102102102102102
-461.9913445596644,0.12122122122122123
-465.8009849097002,0.12142142142142143
-469.60184150334135,0.12162162162162163
-473.39394900194065,0.12182182182182183
-477.17734187340244,0.12202202202202203
-480.9520543935777,0.12222222222222223
-484.71812064764674,0.12242242242242243
-488.4755745314892,0.12262262262262263
-492.2244497530428,0.12282282282282284
-495.9647798336494,0.12302302302302304
-499.69659810939004,0.12322322322322324
-503.41993773240705,0.12342342342342344
-507.1348316722159,0.12362362362362364
-510.84131271700505,0.12382382382382384
-514.539413474924,0.12402402402402403
-518.2291663753615,0.12422422422422423
-521.9106036702105,0.12442442442442443
-525.583757435124,0.12462462462462463
-529.2486595707594,0.12482482482482483
-532.9053418040126,0.12502502502502505
-536.5538356892382,0.12522522522522522
-540.1941726094668,0.12542542542542542
-543.8263837776021,0.12562562562562563
-547.4505002376148,0.12582582582582583
-551.0665528657238,0.12602602602602603
-554.6745723715668,0.12622622622622623
-558.2745892993621,0.12642642642642643
-561.8666340290599,0.12662662662662663
-565.4507367774831,0.12682682682682683
-569.02692759946,0.12702702702702703
-572.5952363889455,0.12722722722722724
-576.1556928801344,0.12742742742742744
-579.7083266485645,0.12762762762762764
-583.2531671122099,0.12782782782782784
-586.7902435325661,0.12802802802802804
-590.3195850157256,0.12822822822822824
-593.8412205134438,0.12842842842842844
-597.3551788241966,0.12862862862862864
-600.8614885942293,0.12882882882882885
-604.360178318596,0.12902902902902905
-607.8512763421907,0.12922922922922925
-611.3348108607696,0.12942942942942945
-614.8108099219656,0.12962962962962965
-618.2793014262934,0.12982982982982985
-621.7403131281459,0.13003003003003005
-625.1938726367844,0.13023023023023023
-628.6400074173191,0.13043043043043046
-632.078744791679,0.13063063063063063
-635.5101119395808,0.13083083083083083
-638.9341358994816,0.13103103103103103
-642.3508435695293,0.13123123123123123
-645.7602617085029,0.13143143143143143
-649.162416936746,0.13163163163163163
-652.5573357370918,0.13183183183183184
-655.945044455781,0.13203203203203204
-659.3255693033725,0.13223223223223224
-662.6989363556463,0.13243243243243244
-666.065171554498,0.13263263263263264
-669.4243007088282,0.13283283283283284
-672.7763494954239,0.13303303303303304
-676.1213434598308,0.13323323323323324
-679.459308017221,0.13343343343343345
-682.7902684532531,0.13363363363363365
-686.1142499249247,0.13383383383383385
-689.4312774614181,0.13403403403403405
-692.7413759649395,0.13423423423423425
-696.0445702115519,0.13443443443443445
-699.3408848520003,0.13463463463463465
-702.6303444125307,0.13483483483483485
-705.9129732957031,0.13503503503503506
-709.1887957811971,0.13523523523523526
-712.4578360266114,0.13543543543543546
-715.7201180682572,0.13563563563563563
-718.9756658219464,0.13583583583583586
-722.2245030837682,0.13603603603603603
-725.4666535308696,0.13623623623623626
-728.7021407222167,0.13643643643643644
-731.9309880993642,0.13663663663663667
-735.1532189872045,0.13683683683683684
-738.3688565947241,0.13703703703703704
-741.5779240157441,0.13723723723723724
-744.7804442296592,0.13743743743743744
-747.9764401021716,0.13763763763763764
-751.1659343860169,0.13783783783783785
-754.3489497216856,0.13803803803803805
-757.5255086381384,0.13823823823823825
-760.6956335535166,0.13843843843843845
-763.8593467758463,0.13863863863863865
-767.0166705037375,0.13883883883883885
-770.1676268270771,0.13903903903903905
-773.3122377277175,0.13923923923923925
-776.4505250801595,0.13943943943943946
-779.5825106522293,0.13963963963963966
-782.7082161057511,0.13983983983983986
-785.8276629972144,0.14004004004004006
-788.9408727784347,0.14024024024024026
-792.047866797212,0.14044044044044046
-795.1486662979818,0.14064064064064066
-798.2432924224613,0.14084084084084086
-801.3317662102918,0.14104104104104104
-804.4141085996769,0.14124124124124127
-807.4903404280104,0.14144144144144144
-810.5604824325097,0.14164164164164167
-813.6245552508311,0.14184184184184184
-816.6825794216948,0.14204204204204207
-819.7345753854906,0.14224224224224224
-822.780563484893,0.14244244244244245
-825.8205639654599,0.14264264264264265
-828.8545969762339,0.14284284284284285
-831.8826825703369,0.14304304304304305
-834.9048407055596,0.14324324324324325
-837.9210912449478,0.14344344344344345
-840.9314539573829,0.14364364364364365
-843.9359485181595,0.14384384384384385
-846.9345945095578,0.14404404404404406
-849.9274114214115,0.14424424424424426
-852.914418651672,0.14444444444444446
-855.8956355069686,0.14464464464464466
-858.8710812031634,0.14484484484484486
-861.8407748659033,0.14504504504504506
-864.8047355311671,0.14524524524524526
-867.7629821458092,0.14544544544544546
-870.715533568098,0.14564564564564567
-873.6624085682523,0.14584584584584587
-876.6036258289714,0.14604604604604607
-879.5392039459634,0.14624624624624627
-882.4691614284682,0.14644644644644644
-885.3935166997783,0.14664664664664667
-888.312288097751,0.14684684684684685
-891.225493875326,0.14704704704704707
-894.133152201028,0.14724724724724725
-897.0352811594761,0.14744744744744748
-899.9318987518793,0.14764764764764765
