Work (J),Volume (m^3)
-1002.1397048423372,0.14944944944944946
-1005.478661453928,0.14964964964964966
-1008.813154220505,0.14984984984984986
-1012.1431950615588,0.15005005005005007
-1015.4687958489019,0.15025025025025027
-1018.7899684069226,0.15045045045045047
-1022.1067245128378,0.15065065065065067
-1025.4190758969426,0.15085085085085087
-1028.7270342428596,0.15105105105105107
-1032.0306111877878,0.15125125125125127
-1035.3298183227455,0.15145145145145147
-1038.6246671928159,0.15165165165165168
-1041.9151692973892,0.15185185185185188
-1045.2013360904039,0.15205205205205208
-1048.4831789805842,0.15225225225225225
-1051.7607093316815,0.15245245245245248
-1055.0339384627052,0.15265265265265265
-1058.3028776481624,0.15285285285285288
-1061.5675381182864,0.15305305305305306
-1064.8279310592725,0.15325325325325329
-1068.084067613503,0.15345345345345346
-1071.335958879782,0.15365365365365366
-1074.5836159135565,0.15385385385385386
-1077.8270497271446,0.15405405405405406
-1081.0662712899593,0.15425425425425426
-1084.3012915287318,0.15445445445445447
-1087.5321213277307,0.15465465465465467
-1090.7587715289842,0.15485485485485487
-1093.9812529324956,0.15505505505505507
-1097.199576296463,0.15525525525525527
-1100.4137523374925,0.15545545545545547
-1103.6237917308144,0.15565565565565567
-1106.8297051104942,0.15585585585585587
-1110.0315030696438,0.15605605605605607
-1113.2291961606345,0.15625625625625628
-1116.4227948953012,0.15645645645645648
-1119.6123097451537,0.15665665665665668
-1122.7977511415797,0.15685685685685688
-1125.979129476052,0.15705705705705708
-1129.1564551003305,0.15725725725725728
-1132.3297383266636,0.15745745745745748
-1135.4989894279906,0.15765765765765766
-1138.6642186381418,0.1578578578578579
-1141.8254361520333,0.15805805805805806
-1144.9826521258683,0.1582582582582583
-1148.1358766773287,0.15845845845845846
-1151.2851198857747,0.1586586586586587
-1154.4303917924321,0.15885885885885886
-1157.5717024005905,0.15905905905905907
-1160.7090616757887,0.15925925925925927
-1163.8424795460087,0.15945945945945947
-1166.9719659018615,0.15965965965965967
-1170.0975305967754,0.15985985985985987
-1173.2191834471823,0.16006006006006007
-1176.3369342327023,0.16026026026026027
-1179.4507926963279,0.16046046046046047
-1182.5607685446062,0.16066066066066068
-1185.6668714478208,0.16086086086086088
-1188.769111040172,0.16106106106106108
-1191.8674969199565,0.16126126126126128
-1194.9620386497454,0.16146146146146148
-1198.0527457565606,0.16166166166166168
-1201.139627732052,0.16186186186186188
-1204.2226940326716,0.16206206206206208
-1207.301954079847,0.16226226226226229
-1210.3774172601552,0.1624624624624625
-1213.4490929254935,0.16266266266266266
-1216.5169903932506,0.1628628628628629
-1219.5811189464748,0.16306306306306306
-1222.641487834046,0.1632632632632633
-1225.6981062708376,0.16346346346346347
