Temperature (K),U (isolated),F (isolated),S (isolated),U (soc),F (soc),S (soc),U (soc_cfs),F (soc_cfs),S (soc_cfs)
329.7648824412206,-0.0,-0.07499393089318306,0.00022741636507200846,1.9628574879249072e-05,-0.05091831130446612,0.00015446744619749403,0.0008958243913976816,-0.03960423254521381,0.00012281490912514903
330.6153076538269,-1.7763568394002505e-15,-0.07518733150379958,0.00022741636507202234,2.013236256281914e-05,-0.05104967495827208,0.00015446897189603723,0.0009058345008190472,-0.03970869030734507,0.00012284522511020815
331.4657328664332,-1.7763568394002505e-15,-0.07538073211441611,0.0002274163650720154,2.064639470944485e-05,-0.051181039920997644,0.00015447052462079155,0.0009159073791265016,-0.039813173898577844,0.00012287565282704735
332.3161580790395,-3.552713678800501e-15,-0.07557413272503262,0.00022741636507200846,2.1170818580884543e-05,-0.05131240621575617,0.00015447210467697467,0.0009260430390582997,-0.039917683413704226,0.00012290619174145506
333.1665832916458,-0.0,-0.07576753333564913,0.00022741636507200846,2.1705782478065316e-05,-0.051443773865920965,0.00015447371237056057,0.000936241492435208,-0.04002221894706256,0.00012293684132055893
334.01700850425215,-0.0,-0.07596093394626567,0.00022741636507203622,2.2251435707332234e-05,-0.051575142895125825,0.0001544753480082449,0.000946502750160505,-0.0401267805925386,0.0001229676010328154
334.86743371685844,1.7763568394002505e-15,-0.0761543345568822,0.0002274163650720154,2.2807928598211902e-05,-0.05170651332726565,0.00015447701189735819,0.0009568268222501786,-0.04023136844356659,0.0001229984703480444
335.71785892946474,-0.0,-0.07634773516749871,0.0002274163650720154,2.3375412485648894e-05,-0.05183788518649702,0.00015447870434597,0.0009672137178515783,-0.04033598259313057,0.0001230294487375612
336.56828414207104,-0.0,-0.07654113577811524,0.00022741636507202234,2.395403970290033e-05,-0.05196925849723878,0.00015448042566274314,0.0009776634452567379,-0.04044062313376554,0.00012306053567412087
337.41870935467733,-0.0,-0.07673453638873176,0.0002274163650720154,2.4543963572654093e-05,-0.05210063328417252,0.00015448217615694412,0.0009881760119334615,-0.04054529015755879,0.00012309173063202589
338.26913456728363,1.7763568394002505e-15,-0.07692793699934827,0.0002274163650720154,2.5145338408805173e-05,-0.05223200957224309,0.00015448395613842925,0.0009987514245271,-0.04064998375615118,0.00012312303308712955
339.1195597798899,1.7763568394002505e-15,-0.0771213376099648,0.0002274163650720154,2.5758319484481262e-05,-0.05236338738665909,0.0001544857659175891,0.001009389688903184,-0.0407547040207385,0.00012315444251688804
339.9699849924962,1.7763568394002505e-15,-0.07731473822058131,0.00022741636507200153,2.6383063056911737e-05,-0.052494766752893315,0.00015448760580534168,0.0010200908101278827,-0.04085945104207285,0.0001231859584003986
340.8204102051026,-0.0,-0.07750813883119785,0.00022741636507202234,2.7019726330124172e-05,-0.0526261476966832,0.0001544894761130941,0.0010308547925284017,-0.040964224910464045,0.0001232175802184446
341.6708354177089,-1.7763568394002505e-15,-0.07770153944181436,0.0002274163650720154,2.7668467467378832e-05,-0.05275753024403114,0.00015449137715267333,0.0010416816396876527,-0.041069025715781055,0.00012324930745349905
342.52126063031517,1.7763568394002505e-15,-0.07789494005243089,0.00022741636507202234,2.8329445580510537e-05,-0.052888914421205004,0.00015449330923640592,0.001052571354454912,-0.04117385354745349,0.0001232811395897801
343.37168584292147,-0.0,-0.07808834066304741,0.0002274163650720154,2.9002820692625164e-05,-0.05302030025473838,0.00015449527267695842,0.0010635239389866769,-0.04127870849447303,0.00012331307611331693
344.22211105552776,-0.0,-0.07828174127366393,0.0002274163650720154,2.96887537771795e-05,-0.05315168777143095,0.00015449726778741374,0.0010745393947431126,-0.041383590645395096,0.00012334511651193591
