Temperature (K),Hard Sphere B2 (Å^3/mol),Square Well B2 (Å^3/mol),Lennard Jones B2 (Å^3/mol)
530.9309309309309,4.938475327929691e+25,2.064142874944774e+25,1.0108139126243925e+25
531.6316316316315,4.938475327929691e+25,2.0683597794505423e+25,1.0143902285834182e+25
532.3323323323323,4.938475327929691e+25,2.072564372833138e+25,1.0179555863372248e+25
533.033033033033,4.938475327929691e+25,2.076756708754104e+25,1.0215100326889666e+25
533.7337337337337,4.938475327929691e+25,2.0809368405644746e+25,1.0250536141799182e+25
534.4344344344345,4.938475327929691e+25,2.085104821307019e+25,1.0285863770912691e+25
535.1351351351351,4.938475327929691e+25,2.089260703718456e+25,1.0321083674459774e+25
535.8358358358358,4.938475327929691e+25,2.0934045402316513e+25,1.0356196310104964e+25
536.5365365365365,4.938475327929691e+25,2.0975363829777924e+25,1.0391202132966083e+25
537.2372372372372,4.938475327929691e+25,2.101656283788566e+25,1.0426101595631406e+25
537.9379379379379,4.938475327929691e+25,2.105764294198274e+25,1.0460895148177228e+25
538.6386386386387,4.938475327929691e+25,2.109860465445981e+25,1.0495583238185284e+25
539.3393393393394,4.938475327929691e+25,2.1139448484776115e+25,1.0530166310759746e+25
540.04004004004,4.938475327929691e+25,2.1180174939480354e+25,1.0564644808544297e+25
540.7407407407406,4.938475327929691e+25,2.122078452223137e+25,1.0599019171739094e+25
541.4414414414414,4.938475327929691e+25,2.1261277733818758e+25,1.063328983811744e+25
542.1421421421421,4.938475327929691e+25,2.130165507218312e+25,1.0667457243042318e+25
542.8428428428429,4.938475327929691e+25,2.1341917032436335e+25,1.0701521819482919e+25
543.5435435435436,4.938475327929691e+25,2.1382064106881493e+25,1.0735483998031071e+25
544.2442442442442,4.938475327929691e+25,2.1422096785032714e+25,1.0769344206917259e+25
544.944944944945,4.938475327929691e+25,2.146201555363495e+25,1.080310287202688e+25
545.6456456456456,4.938475327929691e+25,2.150182089668335e+25,1.0836760416916005e+25
546.3463463463463,4.938475327929691e+25,2.1541513295442626e+25,1.0870317262827252e+25
547.047047047047,4.938475327929691e+25,2.1581093228466326e+25,1.0903773828705547e+25
547.7477477477478,4.938475327929691e+25,2.1620561171615704e+25,1.0937130531213578e+25
548.4484484484484,4.938475327929691e+25,2.1659917598078736e+25,1.0970387784747286e+25
549.1491491491491,4.938475327929691e+25,2.1699162978388684e+25,1.1003546001451048e+25
549.8498498498498,4.938475327929691e+25,2.1738297780442707e+25,1.1036605591233044e+25
550.5505505505505,4.938475327929691e+25,2.1777322469520257e+25,1.106956696178014e+25
551.2512512512512,4.938475327929691e+25,2.1816237508301254e+25,1.1102430518572948e+25
551.951951951952,4.938475327929691e+25,2.1855043356884226e+25,1.113519666490051e+25
552.6526526526527,4.938475327929691e+25,2.189374047280421e+25,1.1167865801875128e+25
553.3533533533533,4.938475327929691e+25,2.193232931105062e+25,1.1200438328446959e+25
554.0540540540541,4.938475327929691e+25,2.1970810324084676e+25,1.1232914641418292e+25
554.7547547547547,4.938475327929691e+25,2.200918396185716e+25,1.1265295135457982e+25
555.4554554554554,4.938475327929691e+25,2.2047450671825584e+25,1.1297580203115828e+25
556.1561561561562,4.938475327929691e+25,2.208561089897144e+25,1.1329770234836492e+25
556.8568568568569,4.938475327929691e+25,2.2123665085817215e+25,1.136186561897365e+25
557.5575575575575,4.938475327929691e+25,2.2161613672443424e+25,1.139386674180367e+25
558.2582582582583,4.938475327929691e+25,2.219945709650529e+25,1.1425773987539763e+25
558.9589589589589,4.938475327929691e+25,2.223719579324945e+25,1.145758773834522e+25
559.6596596596596,4.938475327929691e+25,2.2274830195530367e+25,1.1489308374347386e+25
560.3603603603603,4.938475327929691e+25,2.23123607338268e+25,1.1520936273650798e+25
561.0610610610611,4.938475327929691e+25,2.2349787836258016e+25,1.1552471812350774e+25
561.7617617617618,4.938475327929691e+25,2.2387111928599886e+25,1.1583915364546457e+25
562.4624624624624,4.938475327929691e+25,2.2424333434300825e+25,1.1615267302354138e+25
563.1631631631631,4.938475327929691e+25,2.2461452774497664e+25,1.164652799592015e+25
563.8638638638638,4.938475327929691e+25,2.2498470368031426e+25,1.1677697813433984e+25
564.5645645645645,4.938475327929691e+25,2.2535386631462737e+25,1.1708777121140898e+25
565.2652652652653,4.938475327929691e+25,2.257220197908751e+25,1.1739766283354835e+25
565.965965965966,4.938475327929691e+25,2.260891682295208e+25,1.1770665662470952e+25
566.6666666666666,4.938475327929691e+25,2.2645531572868566e+25,1.1801475618978197e+25
567.3673673673674,4.938475327929691e+25,2.268204663642991e+25,1.1832196511471832e+25
568.068068068068,4.938475327929691e+25,2.2718462419024683e+25,1.1862828696665555e+25
568.7687687687687,4.938475327929691e+25,2.2754779323852264e+25,1.1893372529403966e+25
569.4694694694695,4.938475327929691e+25,2.2790997751937217e+25,1.1923828362674596e+25
570.1701701701702,4.938475327929691e+25,2.282711810214417e+25,1.1954196547620063e+25
570.8708708708709,4.938475327929691e+25,2.2863140771192075e+25,1.198447743354986e+25
571.5715715715716,4.938475327929691e+25,2.289906615366882e+25,1.2014671367952406e+25
572.2722722722722,4.938475327929691e+25,2.293489464204523e+25,1.2044778696506737e+25
572.9729729729729,4.938475327929691e+25,2.2970626626689456e+25,1.207479976309422e+25
573.6736736736736,4.938475327929691e+25,2.3006262495880775e+25,1.2104734909810138e+25
574.3743743743744,4.938475327929691e+25,2.304180263582376e+25,1.2134584476975177e+25
575.0750750750751,4.938475327929691e+25,2.307724743066187e+25,1.2164348803146812e+25
575.7757757757757,4.938475327929691e+25,2.3112597262491195e+25,1.2194028225130862e+25
576.4764764764765,4.938475327929691e+25,2.314785251137419e+25,1.2223623077992357e+25
577.1771771771771,4.938475327929691e+25,2.3183013555352907e+25,1.225313369506707e+25
577.8778778778778,4.938475327929691e+25,2.321808077046271e+25,1.2282560407972332e+25
578.5785785785786,4.938475327929691e+25,2.325305453074512e+25,1.2311903546618066e+25
579.2792792792793,4.938475327929691e+25,2.328793520826135e+25,1.2341163439217891e+25
579.97997997998,4.938475327929691e+25,2.3322723173105147e+25,1.237034041229954e+25
580.6806806806807,4.938475327929691e+25,2.3357418793415875e+25,1.239943479071604e+25
581.3813813813813,4.938475327929691e+25,2.3392022435391273e+25,1.24284468976562e+25
582.082082082082,4.938475327929691e+25,2.3426534463300244e+25,1.245737705465494e+25
582.7827827827828,4.938475327929691e+25,2.346095523949557e+25,1.2486225581604172e+25
583.4834834834835,4.938475327929691e+25,2.349528512442635e+25,1.2514992796763033e+25
584.1841841841842,4.938475327929691e+25,2.3529524476650522e+25,1.2543679016768095e+25
